name,type,cohort,tier,icp_fit,source,source_detail,source_conference,owner,standin,engineering_lead,exec_sponsor,stage,arr,website,domain,linkedin_url,industry,hq_location,employee_count,annual_revenue,founded_year,ams_system,technologies,specialties,drive_folder_url,category,champion,health_score,notes
Benekiva,InsurTech,Prospect,,,Existing,Partnership,,,,,,prospect,,,,,,,,,,,,,,,,,Partnership deal. Voice/chat front-of-house for Benekiva claims customers. NDA pending. Jim (Benekiva) + Craig (Indemn) on tech. HIGH VALUE infrastructure moat opportunity.
Berkshire Hathaway GUARD,Carrier,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Insurance,,"1,000+",,,,,,,Cat 2B,,,"Dir, Wholesale Relationships."
Blitz Insurance,Broker,Prospect,,,Existing,status=prospect,,,,,,prospect,,http://www.blitzinsurance.com,blitzinsurance.com,http://www.linkedin.com/company/blitz-insurance,insurance,"Chicago, Illinois",59,,2021,,AddThis; Amazon AWS; Bootstrap Framework; Google Font API; Google Tag Manager; Hubspot; Microsoft Office 365; New Relic; Outlook; Ruby On Rails,built for brokers; risk assessment; insurance platform; dynamic risk evaluation; risk-specific applications; lightning-fast quoting; builder's risk coverage; seamless binding; customer experience; direct insurance (except life,,,John Busch,at-risk,Need to get info from Marlon
Borrowed Tyme,Other,Prospect,,,Existing,,,Kyle,,,,prospect,,,,,,,,,,,,,,,,,Sales and service web agents. Great progress Jan 31 - want to partner. Expanding relationship.
Boston Insurance Brokerage LLC,Other,Prospect,,,Existing,status=prospect,,,,,,prospect,,,,,,,,,,,,,,,Chris Fell (Chief Operating Officer  Executive Vice President),attention,
CM&F Group,MGA_MGU,Prospect,,,Existing,status=negotiation,,,,,,prospect,,http://www.cmfgroup.com,cmfgroup.com,http://www.linkedin.com/company/cm-f-group,insurance,"New Hyde Park, New York",44,8695000,1919,,Ambassador; Bing Ads; Bootstrap Framework; CloudFlare Hosting; DoubleClick; DoubleClick Conversion; Facebook Custom Audiences; Facebook Login (Connect); Facebook Widget; Google AdWords Conversion,liability insurance & business insurance; claims handling; healthcare practice errors; healthcare practice insurance; medical practice liability; claims protection; medical malpractice; online insurance application; tailored insurance policies; insurance for healthcare organizations,,,Will Sullivan (EVP & CUO),100,1.13.25 Focus this week 1.7.25 - Followed up to try and get a call scheduled next week 12.11 jason call John 12.6.24 follow up 11.12.24 - good call with them yesterday. Aligned on quote generation agent. Shared API: https://x-connect.uat.cmfgroup.com/swagger -- and FAQs 11.2 - Mid funnel with John and Will
CSAA Insurance Group (AAA),Carrier,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Insurance,"Walnut Creek, CA","3,500+",,,,,,,Cat 2B,,,Digital Partner Sales Lead.
Caliber Corporate Advisors,,Prospect,,,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,,,,,,,,,,Cat 1,,,AI for UW workflows. Booked via LinkedIn.
Callahan & Rice Insurance Group,Broker,Prospect,,,Conference,ALER26,ALER26 Spring 2026,,,,,prospect,,,,,,,11,,,,,,,,,,ALER26 Mar 15. Landon Bentham (CEO). Just opened Raleigh office Feb 2026.
Charley,Other,Prospect,,,Existing,status=prospect,,,,,,prospect,,,,,,,,,,,,,,,,healthy,
Commonwealth Underwriters,MGA_MGU,Prospect,,,Conference,ALER26,ALER26 Spring 2026,,,,,prospect,,,,,,,,,,,,,,,,,ALER26 Mar 16. Sarah Koolhof (Marketing Rep). Specialty/difficult risks wholesaler.
Connor Insurance Agency,Broker,Prospect,,,Conference,ALER26,ALER26 Spring 2026,,,,,prospect,,,,,,,,,,,,,,,,,ALER26 Mar 15. Oliver Connor IIANC Board Director at Large. Lake Norman area near Rankin.
"E & L Insurance Services, Inc",Broker,Prospect,,,Existing,status=negotiation,,,,,,prospect,,,,,,,,,,,,,,,Enrique Ruiz (Owner),attention,
FF News / Fintech Finance,Other,Prospect,,N/A,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Media,London,,,,,,,,Cat 2A,,,"CRO Shaun Routledge. Media/press. Good for coverage, not a customer."
Fair Warranty,Other,Prospect,,,Existing,,,,,,,prospect,,,,,,,,,,,,,,,,,
Falcon Risk Services,MGA_MGU,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Insurance / MGA,,,,,,,,,Cat 2B,,,
Focal AI,InsurTech,Prospect,,Low,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,AI / FinTech,,Startup,,,,,,,Cat 2B,,,AI for wealth mgmt. $5M seed.
Fortified,Other,Prospect,,,Existing,status=prospect,,,,,,prospect,,http://www.fortifiedagencies.com,fortifiedagencies.com,http://www.linkedin.com/company/fortifiedagencies,insurance,"Knoxville, Tennessee",4,,2022,Mixed (Vertafore/Applied),DigitalOcean; Google Font API; Google Tag Manager; Nginx; Outlook; WordPress.org,independent insurance agencies & insurance; insurance; community insurance; industry leadership; premium writing; industry awards; insurance solutions; carrier partnerships; agency community; agent-owned,,,Kendal Russell-Hamed,100,"Fortified is an alliance of independent insurance agencies across 10 states that collectively write $3 billion in premiums for over 225,000 clients. Differentiators: Agency alliance network, Multi-state presence, Collective buying power, Shared resources"
Fox Quilt,InsurTech,Prospect,,Strong,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Kyle,,,,prospect,,,,,InsurTech,,Startup,,,,,,,Cat 1,,,"VC intro via Rohan Monga (Luge VC). Cam forwarding to Emma. Nick = Ops, excited re: service. | Discovery call Apr 17 with Nick Goodfellow. Post-bind servicing for Foxden embedded partners. VC intro via Rohan Monga (Luge VC)."
Gen Re,Carrier,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Reinsurance,"Stamford, CT","2,000+",,,,,,,Cat 2B,,,Berkshire Hathaway subsidiary.
Go Culture,,Prospect,,,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,,,,,,,,,,Cat 2A,,,Co-Founder Justin Velten. Potential partnership.
Highview National Insurance,Carrier,Prospect,,Strong,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Insurance,,,,,,,,,Cat 2A,,,Isaac Muller = President & CEO. CEO-level carrier. TOP 5 STANDOUT.
ICW Group,Carrier,Prospect,,,Conference,ALER26,ALER26 Spring 2026,,,,,prospect,,,,,,,,,,,,,,,,,ALER26 Mar 16. Ryan Brown interested in broker portal. Largest privately held insurer in CA workers comp focus.
Independent Insurance Agents of NC (IIANC),Other,Prospect,,,Existing,status=negotiation,,George Remmer,,George Remmer + Peter Duffy,,prospect,,,,,,,,,,,,,,,,healthy,IIANC. Aubie Knight contact. 101 Weston Labs incubator. Channel partner. Marlon led; ALER26 conference 20+ prospects.
InsuranceTrak,Broker,AI_Investments,,,Existing,status=active,,,,,,prospect,6000,http://www.insurancetrak.com,insurancetrak.com,http://www.linkedin.com/company/insurancetrak-services,insurance,"Rochester, New York",11,4514000,2011,Easy Links,Cloudflare DNS; Drupal; Gmail; Google Apps; Google Tag Manager; Hubspot; InMotion Hosting DNS; Route 53; Slack; Webflow,payasyougo workers compensation; car insurance; home insurance; workers compensation; business insurance; auto insurance; independent insurance agency; home & rental insurance; insurance; life insurance,,,Zhenyuan Lin,100,
Insurors Indemnity,Carrier,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Insurance,"Waco, TX",32,,,,,,,Cat 2C,,,Chairman.
International Citizens Insurance,,Prospect,,,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,,,,,,,,,,Cat 1,,,"VP Global Benefits. 23 employees, Hingham MA."
Jencap,MGA_MGU,Prospect,,,Conference,ALER26 + InsurTechNY,ALER26 Spring 2026,,,,,prospect,,,,,,,,,,,,,,,,,Two threads: ALER26 + InsurTech NY. Carlyle-owned MGA/wholesaler.
Jove,Broker,Prospect,,,Existing,status=negotiation,,,,,,prospect,,http://www.jove.co,jove.co,http://www.linkedin.com/company/joveinsurance,insurance,"London, England, United Kingdom",23,,2021,,Amazon AWS; Gmail; Google Apps; Google Cloud Hosting; React Native; Zendesk,insurance for freelancers; insurance services; small business risk coverage; personalized insurance packages; flexible coverage; flexible insurance; insurance; insurance solutions; self-employed insurance solutions; self-employed risk coverage,,,Amanda Cai (CEO and Founder),100,1.13.25 - Proposal sent Friday 12.9.24 - Kyle to send proposal to Amanda 9.16 Jason outreach
KSKJ Life,Carrier,Prospect,,Low,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Insurance / Life,"Joliet, IL",,,,,,,,Cat 2B,,,CFO.
LISA,Broker,Prospect,,,Existing,status=negotiation,,,,,,prospect,,https://hellolisa.info/,hellolisa.info,,,,,,,,,,,,,healthy,
"LRP, The Loss Run Pros",Other,Prospect,,,Existing,status=negotiation,,,,,,prospect,,http://www.lossrunpro.com,lossrunpro.com,http://www.linkedin.com/company/lossrunpro,insurance,"Missoula, Montana",11,2100000,2019,,Amazon SES; CloudFlare Hosting; Cloudflare DNS; Gmail; Google Apps; Lightspeed; Marketo; Render; Slack,,,,Reghan Brandt,healthy,1.6.25 - Kyle Followup on Tuesday 12.5.24 proposal sent
Lirvion,InsurTech,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,InsurTech / Benefits,"Brooklyn, NY",Startup,,,,,,,Cat 1,,,"ICHRA Admin Platform. Founded 2025, Brooklyn. Rustam + Giulia."
Lockton,Broker,Prospect,,Strong,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Insurance / Broker,"Kansas City, MO","10,000+",,,,,,,Cat 2C,,,"AVP, Business Technology Solutions."
Lockton Re,Broker,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Reinsurance,"Kansas City, MO","10,000+",,,,,,,Cat 1,,,"Kelly Billings intro'd Josh Mitchell (Lockton, Affinity/Synchronize)."
Loro,Other,Prospect,,Medium,Existing,status=active,InsurTechNY Spring 2026,Ganesh,,Ganesh,,pilot,6000,http://www.loroinsurance.com,loroinsurance.com,http://www.linkedin.com/company/loro-insurtech,InsurTech,"Dover, Delaware",27,,2021,,Amazon AWS; Gmail; Google Apps; Google Cloud Hosting; Google Workspace; Gusto; Nginx; Render; Webmail,insurance; mga; insurance platform; digital distribution,,Cat 2A,Loris Candylaftis (CTO),100,3.7.25 - Offered platform access and aligned to build together. 1.30.25 - Spoke with Peter and team. Will followup and build a prototype agent for Loro platform. Spoke to Diego in fall 2024 - good potential partner/reseller opportunity | Tim Piazza. EXISTING RELATIONSHIP - Feb 'Loro Indem Launch' thread. Ganesh + Dhruv involved. | Also encountered at InsurTechNY Spring 2026.
Main Street Financial Group,Broker,Prospect,,,Conference,ALER26,ALER26 Spring 2026,,,,,prospect,,,,,,,59,20700000,,,,,,,,,ALER26 Mar 15. Jordan Boyd (Client Services Mgr). 8 offices. Keystone network.
ManageMy,InsurTech,Prospect,,Low,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,InsurTech,,,,,,,,,Cat 2C,,,Head of Sales.
Markel,Carrier,Prospect,,Strong,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian + Kyle,,,,prospect,,,,,Insurance / Specialty,"Richmond, VA","20,000+",,,,,,,Cat 1,,,"Jennifer Bennett ghosted. Kyle + George were on the call. 20,000+ employees."
Middendorf Insurance,Broker,Prospect,,,Existing,,,,,,,prospect,,,,,,,,,,,,,,,,,Workflow-based AI agents. Awaiting next steps.
Mutual of Omaha,Carrier,Prospect,,Strong,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Insurance / Financial Services,"Omaha, NE","5,000+",,,,,,,Cat 1,,,SVP Yuri Veomett. Actuarial leadership. Fortune 500. Demo held 4/7.
National Life Group,Carrier,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Insurance / Life,"Montpelier, VT","1,000+",,,,,,,Cat 2A,,,Faris Virani. Product Portfolio Leader. Ian committed to send info. OVERDUE.
Nationwide Ventures,VC,Prospect,,Strong,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,VC / Strategic,"Columbus, OH",,,,,,,,Cat 2A,,,Jess Liu = Partner. VC arm of Nationwide. Deck requested. TOP 5 STANDOUT.
New York State Insurance Fund,Carrier,Prospect,,,Existing,,,,,,,prospect,,,,,,,,,,,,,,,,,
NormanMax Insurance,MGA_MGU,Prospect,,Strong,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian,,,,prospect,,,,,Insurance / Parametric,,,,,,,,,Cat 2A,,,Samuel Broomer = former EVP Berkley. Lloyd's. Parametric = EventGuard. TOP 5 STANDOUT.
PEO Spectrum,Other,Prospect,,Medium,Conference,InsurTechNY Spring 2026,InsurTechNY Spring 2026,Ian + Marlon,,,,prospect,,,,,HR Consulting,,,,,,,,,Cat 1,,,HR consulting. Tracy Goldman. Pre-conf intro Mar 27. Marlon co-owns.
Pathpoint,MGA_MGU,Prospect,,,Existing,status=negotiation,,,,,,prospect,,http://www.pathpoint.com,pathpoint.com,http://www.linkedin.com/company/pathpointinsurance,insurance,"Washington, District of Columbia",57,5600000,2017,,Customer.IO; Cvent; Gmail; Google Apps; Google Tag Manager; Lever; Microsoft Office 365; ON24; Route 53; Salesforce,e; s insurance; surplus lines insurance; digital wholesaler; general liability insurance; lro insurance; property; casualty; property insurance; insurance marketplace,,,Melissa Chi,58,1.7.25 - Meeting scheduled for tomrrow 1.8.25 1.6.25 - Kyle followup with Ania 12.9.24 Kyle follow up 9.30.24 email
"Rightsure, Inc",Broker,Prospect,,,Existing,status=negotiation,,,,,,prospect,,,,,,,,,,,,,,,Ronald Jeffery Arnold,100,1.7.25 -- Followed up with Jeff and offered a reset. Do need to confirm relationship he has with Liberate. Ask if he is an investor. Already have chatbot. Not great. Will set up meeting with Jeff Arnold
